image10=> Resolution::800x800, frames 3
image11=> Resolution:1024x884, frames 3
image12=> Resolution:3432x2480, frames 3
image13=> Resolution:800x1104, frames 3
image14=> Resolution:245x250, frames 3
image15=> Resolution:628x444, frames 3
image16=> Resolution:260x375, frames 3
image17=> Resolution:363x500, frames 3
image18=> Resolution:1200x1600, frames 3
image19=> Resolution:774x1024, frames 3
image1=> Resolution:477x500, frames 3
image20=> Resolution:2550x3507, frames 3
image21=> Resolution:600x847, frames 3
image22=> Resolution:850x350, frames 3
image23=> Resolution:805x900, frames 3
image24=> Resolution:800x415, frames 3
image25=> Resolution:300x450, frames 3
image26=> Resolution:1700x2338, frames 3
image27=> Resolution:364x500, frames 3
image28=> Resolution:1136x1600, frames 3
image29=> Resolution:680x890, frames 3
image2=> Resolution:488x500, frames 3
image30=> Resolution:1443x1600, frames 3
image31=> Resolution:250x334, frames 3
image32=> Resolution:1200x1600, frames 3
image33=> Resolution:800x1090, frames 3
image34=> Resolution:406x500, frames 3
image35=> Resolution:300x450, frames 3
image36=> Resolution:600x416, frames 3
image37=> Resolution:500x500, frames 3
image38=> Resolution:559x768, frames 3
image39=> Resolution:960x852, frames 3
image3=> Resolution:500x385, frames 3
image40=> Resolution:499x483, frames 3
image41=> Resolution:292x320, frames 3
image42=> Resolution:800x1097, frames 3
image43=> Resolution:363x500, frames 3
image44=> Resolution:559x768, frames 3
image45=> Resolution:363x500, frames 3
image46=> Resolution:638x479, frames 3
image47=> Resolution:250x250, frames 3
image48=> Resolution:1319x1600, frames 3
image49=> Resolution:1024x602, frames 3
image4=> Resolution:364x500, frames 3
image50=> Resolution:700x485, frames 3
image51=> Resolution:1600x1199, frames 3
image52=> Resolution:363x500, frames 3
image53=> Resolution:500x385, frames 3
image5=> Resolution:483x500, frames 3
image6=> Resolution:841x464, frames 3
image7=> Resolution:800x400, frames 3
image8=> Resolution:650x700, frames 3
image9=> Resolution:362x500, frames 3